,,,,,,,
,"基板名","CAN_ID",,"黄色：実際に使われてるもの",,,
,"中央制御基板","0x000",,"赤色：中央制御基板への報告(msg.dataは各基板への指示とは定義が別)",,,
,"足回りMD","0x100",,"緑色：手動操作",,,
,"リングハンドSVMD","0x200",,,,,
,"リング昇降DCMD","0x300",,,,,
,"櫓ハンドSVMD","0x400",,,,,
,"櫓昇降SVMD","0x500",,,,,
,,,,,,,
,"【msg.data組み合わせ一覧】",,,,,,
,"①中央制御基板からの指示",,,,,,
,"CAN_ID(受信側)","msg.id","msg.data[0]
受信側の操作
(ハンドを開ける等)","msg.data[1]
0x00:リング取る前
0x01:リングを取った後
0x02:リングを設置した後","msg.data[2]
0x00:リング回収プログラム
0x01:リング設置プログラム","msg.data[3]
0x00:自動操作
0x01:手動操作","さっき何が終わり、今から何するか"
,"リング昇降DCMD_1
0x300","0x300","0x00(正転→降下)","0x00","0x00","0x00","〇ボタンを押した
次はDCモーター正転→降下"
,,,"0x01(逆転→上昇)","0x00","0x00","0x00",
,,,"0x02(モーター停止)","0x00","0x00","0x00",
,"リング昇降DCMD_2
0x301","0x301","0x00(正転→降下)","0x00","0x00","0x00","〇ボタンを押した
次はDCモーター正転→降下"
,,,"0x01(逆転→上昇)","0x00","0x00","0x00",
,,,"0x02(モーター停止)","0x00","0x00","0x00",
,"リングハンドSVMD_1
0x200","0x200","0x00(開)","0x00","0x01","0x00",
,,,"0x01(閉)","0x00","0x01","0x00","×ボタンを押した
次はリングハンド閉"
,"リングハンドSVMD_2
0x201","0x201","0x00(開)","0x00","0x01","0x00",
,,,"0x01(閉)","0x00","0x01","0x00","×ボタンを押した
次はリングハンド閉"
,"リング昇降DCMD_1
0x300","0x300","0x00","0x00","0x00","0x01","□ボタンを長押し
次は降下"
,,,"0x00","0x00","0x00","0x02","リング昇降取りやめ"
,"リング昇降DCMD_2
0x301","0x301","0x00","0x00","0x00","0x01","□ボタンを長押し
次は降下"
,,,"0x00","0x00","0x00","0x02","リング昇降取りやめ"
,,,,,,,
,,,,,,,
,"②リング昇降DCMDからの指示",,,,,,
,"CAN_ID(受信側)","msg.id","msg.data[0]
受信側の操作
(ハンドを開ける等)","msg.data[1]
0x00:リング取る前
0x01:リングを取った後
0x02:リングを設置した後","msg.data[2]
0x00:リング回収プログラム
0x01:リング設置プログラム","msg.data[3]
0x00:自動操作
0x01:手動操作","さっき何が終わり、今から何するか"
,"リングハンドSVMD_1
0x200","0x200","0x00(開)","0x00","0x00","0x00","降下完了
次はリングハンド開"
,,,"0x01(閉)","0x00","0x00","0x00",
,"リングハンドSVMD_2
0x201","0x201","0x00(開)","0x00","0x00","0x00","降下完了
次はリングハンド開"
,,,"0x01(閉)","0x00","0x00","0x00",
,"中央制御基板
0x000","0x000","0x00","0x00",,,"リングを取った後の上昇が終わった
次はそれを中央制御基板へ報告"
,,"0x000","0x00","0x01",,,"リングを設置した後の上昇が終わった
次はそれを中央制御へ報告"
,,,,,,,
,,,,,,,
,"③リングハンドSVMDからの指示",,,,,,
,"CAN_ID(受信側)","msg.id","msg.data[0]
受信側の操作
(ハンドを開ける等)","msg.data[1]
0x00:リング取る前
0x01:リングを取った後
0x02:リングを設置した後","msg.data[2]
0x00:リング回収プログラム
0x01:リング設置プログラム","msg.data[3]
0x00:自動操作
0x01:手動操作","さっき何が終わり、今から何するか"
,"リング昇降DCMD_1
0x300","0x300","0x00(正転→降下)","0x01","0x00","0x00",
,,,"0x01(逆転→上昇)","0x01","0x00","0x00","リングハンド開完了
次は、上昇"
,,,"0x02(モーター停止)","0x01","0x00","0x00",
,"リング昇降DCMD_2
0x301","0x301","0x00(正転→降下)","0x01","0x00","0x00",
,,,"0x01(逆転→上昇)","0x01","0x00","0x00","リングハンド開完了
次は、上昇"
,,,"0x02(モーター停止)","0x01","0x00","0x00",
,"リング昇降DCMD_1
0x300","0x300","0x00(正転→降下)","0x02","0x01","0x00",
,,,"0x01(逆転→上昇)","0x02","0x01","0x00","リングハンド閉完了
次は、上昇"
,,,"0x02(モーター停止)","0x02","0x01","0x00",
,"リング昇降DCMD_2
0x301","0x301","0x00(正転→降下)","0x02","0x01","0x00",
,,,"0x01(逆転→上昇)","0x02","0x01","0x00","リングハンド閉完了
次は、上昇"
,,,"0x02(モーター停止)","0x02","0x01","0x00",
,,,,,,,
,,,,,,,
,"④各基板から中央制御基板への報告",,,,,,
,"CAN_ID(送信側)","msg.id","msg.data[0]","msg.data[1]","どういう報告か",,
,"リング昇降DCMD
0x300番台","0x000","0x00","0x00","リング回収完了
(現状態：開・上昇)",,
,,"0x000","0x00","0x01","リング設置完了
(現状態：閉・上昇)",,
,,"0x000","0x00","0x02","本丸へリング設置完了
(現状態：閉・上昇)",,
,"櫓昇降SVMD
0x500番台","0x000","0x01","0x00","櫓回収完了
(現状態：閉・上昇)",,
,"櫓ハンドSVMD
0x400番台","0x000","0x02","0x00","櫓設置完了
(現状態：開・降下)",,
