,,,,,,,
,"CAN_ID(送信側)","CAN_ID(受信側)","msg.id","msg.data[0]
受信側の操作
(ハンドを開ける等)","msg.data[1]
0x00:櫓を取る前
0x01:櫓を取った後","msg.data[2]
0x00:櫓回収プログラム
0x01:櫓設置プログラム","さっき何が終わり、今から何するか"
,"中央制御基板
0x000","櫓ハンドSVMD_1
0x400","0x400","0x00(開)","0x00","0x00",
,,,,"0x01(閉)","0x00","0x00","十字キー上を押した
次はハンド閉"
,,"櫓ハンドSVMD_2
0x401","0x401","0x00(開)","0x00","0x00",
,,,,"0x01(閉)","0x00","0x00","十字キー上を押した
次はハンド閉"
,"櫓ハンドSVMD_1
0x400","櫓昇降SVMD
0x500","0x500","0x00(上昇)","0x01","0x00","ハンド閉完了
次は上昇"
,,,,"0x01(降下)","0x01","0x00",
,"櫓ハンドSVMD_2
0x401","櫓昇降SVMD
0x500","0x500","0x00(上昇)","0x01","0x00","ハンド閉完了
次は上昇"
,,,,"0x01(降下)","0x01","0x00",
,"櫓昇降SVMD
0x500","中央制御基板
0x000","0x000","0x01","0x00",,"櫓を把持して持ち上げたことの報告"
,,,,,,,
,"中央制御基板
0x000","櫓昇降SVMD
0x500","0x500","0x00(上昇)","0x01","0x01",
,,,,"0x01(降下)","0x01","0x01","十字キー下を押した
次は降下"
,"櫓昇降SVMD
0x500","櫓ハンドSVMD_1
0x400","0x400","0x00(開)","0x01","0x01","降下した
次はハンド開"
,,,,"0x01(閉)","0x01","0x01",
,,"櫓ハンドSVMD_2
0x401","0x401","0x00(開)","0x01","0x01","降下した
次はハンド開"
,,,,"0x01(閉)","0x01","0x01",
,"櫓ハンドSVMD
0x400番台","中央制御基板
0x000","0x000","0x02","0x00",,"櫓を設置したことの報告"
